ID P.F,NOMBRE FANTASIA,PROV,DEP,SEGMENTO,SUBSEGMENTACION,STOCK ROLLO,STOCK RESMA,STOCK SUBE,STOCK PRISMA
8149615,ORGANIZACION DOTI,BUENOS AIRES,1,5.D,6,"1,219","0,000","0,000","-0,018"
8149732,ORGANIZACION DUARTE,ENTRE RIOS,1,4.C,4,"0,236","0,000","0,000","0,000"
8149675,ORGANIZACION FRANGI DINARDI,BUENOS AIRES,1,4.C,4,"-0,299","0,000","0,000","2,455"
8149618,ORGANIZACION GAUTO FECHNER,MISIONES,1,4.C,4,"2,087","0,000","0,000","0,000"
12749379,ORGANIZACION GESSAGA,SANTA FE,1,4.C,4,"-0,080","0,000","0,000","0,976"
8149630,ORGANIZACION GIRARD,MISIONES,1,4.C,4,"2,204","0,000","0,000","1,773"
8149761,ORGANIZACION GPS,MISIONES,1,4.C,4,"1,075","0,000","0,000","0,000"
8149497,ORGANIZACION GRIMALT,SANTA FE,1,N,2,"0,381","0,000","0,000","0,000"
8149748,ORGANIZACION HAURELUK 2 DE MAYO,MISIONES,1,4.C,4,"-0,169","0,000","0,000","1,923"
8149745,ORGANIZACION HAURELUK EL SOBERBIO,MISIONES,1,4.C,4,"0,549","0,000","0,000","2,000"
8149747,ORGANIZACION HAURELUK SAN VICENTE,MISIONES,1,1.VIP,2,"1,700","-0,066","0,000","6,640"
8149790,ORGANIZACION HAURELUK SAN VICENTE II,MISIONES,1,4.C,4,"0,245","0,000","0,000","0,997"
12749135,ORGANIZACION IBANEZ,MISIONES,1,3.B,4,"0,025","1,924","0,000","0,000"
8149709,ORGANIZACION KUZMANICH,CHUBUT,1,5.D,6,"-0,059","0,000","0,000","0,000"
8149598,ORGANIZACION MARCHI,CORRIENTES,1,4.C,4,"1,587","-0,034","0,000","4,824"
8149437,ORGANIZACION MARCUZZI,SANTA FE,1,4.C,4,"-0,104","0,000","0,000","3,888"
8149385,ORGANIZACION MEILI,MISIONES,1,1.VIP,2,"1,301","0,000","0,000","1,768"
8149641,ORGANIZACION MENDOZA,BUENOS AIRES,1,N,2,"0,280","0,000","0,000","0,000"
90049132,ORGANIZACION MITIDIERI,BUENOS AIRES,1,5.D,6,"-0,079","0,000","0,000","1,946"
8149770,ORGANIZACION MORALES,ENTRE RIOS,1,3.B,4,"-0,406","0,000","0,000","4,593"
8149625,ORGANIZACION MP JAGUEL,BUENOS AIRES,1,5.D,6,"1,843","0,000","0,000","4,000"
8149631,ORGANIZACION NAHIRNAK,MISIONES,1,N,2,"0,000","0,000","0,000","0,000"
